count_named_entities,count_number_date_time,future_tense,count_dictionary_words,subjectivity
41,0,0,0,0
81,0,0,0,1
97,0,0,0,0
30,0,0,0,1
16,0,0,0,0
23,1,0,0,1
38,0,0,0,0
17,1,0,0,0
51,0,0,0,0
39,0,0,0,0
32,0,0,0,1
5,1,0,0,0
88,0,0,0,1
28,0,0,0,1
25,0,0,0,1
105,1,1,0,0
100,3,0,0,0
26,0,0,0,0
67,0,0,0,0
25,0,0,0,0
134,1,0,0,0
52,1,0,0,1
70,0,0,0,1
29,0,1,0,0
57,0,0,0,1
155,0,1,0,0
72,1,0,0,1
59,0,0,0,1
36,0,1,0,1
51,0,0,0,1
86,1,0,0,1
21,0,0,0,1
56,0,0,0,0
59,1,0,0,1
62,0,0,0,0
41,0,0,0,0
17,0,0,0,0
176,0,0,0,0
31,0,0,0,1
24,0,0,0,1
15,0,0,0,1
53,1,0,0,1
19,0,0,0,1
25,0,0,0,1
98,0,0,0,0
73,0,0,0,0
125,1,0,0,0
165,0,0,0,0
53,0,1,0,0
121,0,1,0,1
118,0,0,0,1
196,0,0,0,1
32,0,0,0,1
79,1,0,0,1
31,0,0,0,1
65,0,0,0,1
30,0,0,0,1
108,0,0,0,1
14,1,0,0,1
42,0,0,0,1
79,0,1,0,0
22,1,0,0,1
77,2,0,0,1
77,0,0,0,1
112,1,1,0,0
66,0,0,0,1
38,0,0,0,1
139,0,0,0,1
22,0,0,0,0
89,1,0,0,1
78,0,0,0,1
86,0,1,0,1
84,0,0,0,1
48,0,0,0,0
23,0,0,0,1
86,0,0,0,1
9,0,0,0,0
66,0,0,0,1
26,1,0,0,1
67,1,0,0,1
17,0,1,0,0
9,0,0,0,0
42,1,0,0,1
68,0,0,0,0
26,0,0,0,1
41,0,0,0,0
36,0,0,0,1
46,0,0,0,0
62,0,0,0,1
33,0,0,0,0
46,1,0,0,1
40,1,0,0,1
9,0,0,0,0
60,0,0,0,1
47,0,0,0,1
31,0,0,0,1
90,1,0,0,0
136,0,0,0,1
48,0,0,0,0
71,1,0,0,0
41,0,0,0,0
54,0,0,0,1
9,0,0,0,0
30,0,0,0,0
